antecedents,consequents
"frozenset({'Bounce Back', 'Mask Off', 'Swang'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'Mask Off', 'Tunnel Vision'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)', 'HUMBLE.'})"
"frozenset({'Bounce Back', 'Mask Off', 'goosebumps'})","frozenset({'T-Shirt', 'HUMBLE.', 'Congratulations', 'iSpy (feat. Lil Yachty)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'Mask Off'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Portland', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Tunnel Vision', 'Drowning (feat. Kodak Black)', 'Bank Account', 'HUMBLE.', 'goosebumps', 'Magnolia', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'Money Longer'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)', 'You Was Right'})"
"frozenset({'Bounce Back', 'Moves'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})"
"frozenset({'Bounce Back', 'No Heart'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'Bounce Back', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'No Problem (feat. Lil Wayne & 2 Chainz)'})","frozenset({'HUMBLE.', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'Fake Love', 'Caroline', 'goosebumps', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bounce Back', 'One Night'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'Portland'})",frozenset({'Mask Off'})
"frozenset({'Bounce Back', 'Rolex'})","frozenset({'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})"
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)', 'HUMBLE.', 'Mask Off'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)', 'HUMBLE.'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Mask Off'})"
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)', 'Mask Off'})","frozenset({'HUMBLE.', 'XO TOUR Llif3', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)', 'XO TOUR Llif3', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)', 'XO TOUR Llif3', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'Slippery (feat. Gucci Mane)'})","frozenset({'Swang', 'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bounce Back', 'Swang'})","frozenset({'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Fake Love', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'goosebumps', 'Mask Off', 'Fake Love'})"
"frozenset({'Bounce Back', 'T-Shirt', 'Fake Love'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'T-Shirt', 'HUMBLE.', 'Mask Off'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Bounce Back', 'T-Shirt', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'DNA.', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'T-Shirt', 'Mask Off'})","frozenset({'HUMBLE.', 'Congratulations', 'iSpy (feat. Lil Yachty)', 'DNA.', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'T-Shirt', 'Slippery (feat. Gucci Mane)'})","frozenset({'HUMBLE.', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Bounce Back', 'T-Shirt', 'goosebumps'})","frozenset({'iSpy (feat. Lil Yachty)', 'HUMBLE.', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'T-Shirt'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Moves', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'pick up the phone', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Tunnel Vision', 'HUMBLE.', 'Mask Off', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'Tunnel Vision'})","frozenset({'Swang', 'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'T-Shirt', 'HUMBLE.', 'Mask Off', 'Fake Love', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'White Iverson'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'X (feat. Future)', 'HUMBLE.'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'X (feat. Future)', 'Mask Off'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'X (feat. Future)'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'You Was Right', 'T-Shirt', 'pick up the phone', 'HUMBLE.', 'Money Longer', 'Mask Off', 'Fake Love', 'Caroline', 'goosebumps', 'Slippery (feat. Gucci Mane)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'goosebumps', 'Mask Off'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'DNA.'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'HUMBLE.', 'Mask Off'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Congratulations', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'HUMBLE.', 'goosebumps'})",frozenset({'Mask Off'})
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'HUMBLE.'})","frozenset({'Broccoli (feat. Lil Yachty)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'DNA.', 'T-Shirt', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'Mask Off', 'goosebumps'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'Mask Off'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'T-Shirt', 'HUMBLE.', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})","frozenset({'T-Shirt', 'HUMBLE.', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'T-Shirt', 'HUMBLE.'})",frozenset({'Mask Off'})
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'T-Shirt', 'Mask Off'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'T-Shirt'})","frozenset({'HUMBLE.', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'Tunnel Vision'})",frozenset({'HUMBLE.'})
"frozenset({'Bounce Back', 'XO TOUR Llif3', 'goosebumps'})","frozenset({'HUMBLE.', 'Congratulations', 'Mask Off', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Bounce Back', 'XO TOUR Llif3'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'T-Shirt', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Swang', 'Tunnel Vision', 'Drowning (feat. Kodak Black)', 'Bank Account', 'HUMBLE.', 'Mask Off', 'goosebumps', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'You Was Right', 'Mask Off'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'You Was Right', 'X (feat. Future)'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'You Was Right'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Tunnel Vision', 'T-Shirt', 'pick up the phone', 'HUMBLE.', 'Caroline', 'Mask Off', 'goosebumps', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bounce Back', 'goosebumps', 'Fake Love'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Bounce Back', 'goosebumps', 'HUMBLE.'})","frozenset({'T-Shirt', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3', 'Broccoli (feat. Lil Yachty)'})"
"frozenset({'Bounce Back', 'goosebumps', 'Mask Off'})","frozenset({'HUMBLE.', 'Congratulations', 'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})"
"frozenset({'Bounce Back', 'goosebumps', 'Slippery (feat. Gucci Mane)'})","frozenset({'T-Shirt', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'HUMBLE.'})"
"frozenset({'Bounce Back', 'goosebumps'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'DNA.', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'pick up the phone', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Tunnel Vision', 'HUMBLE.', 'Mask Off', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Bounce Back', 'pick up the phone'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'HUMBLE.', 'Caroline', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)'})"
frozenset({'Bounce Back'}),"frozenset({'X (feat. Future)', 'Starboy', 'Congratulations', ""I Don't Fuck With You"", 'Portland', 'T-Shirt', 'Fake Love', 'Money Longer', 'Famous', 'Jumpman', 'DEVASTATED', 'Rolex', 'Antidote', 'Tunnel Vision', 'Erase Your Social', 'Panda', 'White Iverson', 'No Type', 'Mask Off', 'Butterfly Effect', 'Passionfruit', 'goosebumps', 'Come Get Her', 'For Free', 'iSpy (feat. Lil Yachty)', 'rockstar', 'DNA.', 'Controlla', 'Moves', 'OOOUUU', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Wyclef Jean', 'No Role Modelz', 'pick up the phone', 'Bodak Yellow', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Broccoli (feat. Lil Yachty)', 'Swang', 'What They Want', 'Father Stretch My Hands Pt. 1', 'Too Good', 'Ni**as In Paris', ""I'm the One"", 'Low Life', 'Pop Style', 'Unforgettable', 'Both (feat. Drake)', 'Drowning (feat. Kodak Black)', 'Bank Account', 'No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version', 'Chill Bill', 'HUMBLE.', 'Deja Vu', 'No Heart', 'One Night', 'Magnolia', 'Sneakin’', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Break Up In A Small Town', 'House Party'})","frozenset({'T-Shirt', 'Take Your Time', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Die A Happy Man'})"
"frozenset({'Break Up In A Small Town', 'Take Your Time'})","frozenset({'Leave The Night On', 'House Party'})"
frozenset({'Break Up In A Small Town'}),"frozenset({'I Like The Sound Of That', 'Snapback', 'Play It Again', 'Crash And Burn', 'Leave The Night On', 'Get Me Some Of That', 'Barefoot Blue Jean Night', 'John Cougar, John Deere, John 3:16', 'Make You Miss Me', 'T-Shirt', 'Take Your Time', 'Make Me Wanna', 'May We All', 'Anything Goes', 'Chicken Fried', 'House Party', 'Stay A Little Longer', 'Body Like A Back Road', ""I'm Comin' Over"", 'Break Up with Him', 'Love You Like That', 'H.O.L.Y.', 'Somewhere On A Beach', 'This Is How We Roll', 'Drunk On A Plane', 'Die A Happy Man', 'Homegrown', 'Confession'})"
"frozenset({'Break Up with Him', 'Crash And Burn'})",frozenset({'Die A Happy Man'})
"frozenset({'Break Up with Him', 'House Party'})",frozenset({'Die A Happy Man'})
frozenset({'Break Up with Him'}),"frozenset({'I Like The Sound Of That', 'Snapback', 'Play It Again', 'Crash And Burn', ""Don't It"", 'Leave The Night On', 'Barefoot Blue Jean Night', 'John Cougar, John Deere, John 3:16', 'T-Shirt', 'House Party', 'Stay A Little Longer', 'Break Up In A Small Town', 'Springsteen', 'Body Like A Back Road', ""I'm Comin' Over"", 'H.O.L.Y.', 'Homegrown', 'Die A Happy Man'})"
"frozenset({'Broccoli (feat. Lil Yachty)', '2 Phones'})",frozenset({'Panda'})
"frozenset({'Broccoli (feat. Lil Yachty)', '679 (feat. Remy Boyz)'})","frozenset({'Jumpman', 'Trap Queen', 'Panda'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Antidote'})","frozenset({'Jumpman', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Panda'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Panda', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Chill Bill', 'HUMBLE.', 'Caroline', 'Mask Off', 'Fake Love', 'Bounce Back'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Bounce Back'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Chill Bill', 'T-Shirt', 'HUMBLE.', 'Caroline', 'Mask Off', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Chill Bill'})","frozenset({'Bounce Back', 'Caroline', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Fake Love'})","frozenset({'Bounce Back', 'Caroline', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Caroline', 'Mask Off', 'Bounce Back', 'goosebumps', 'Black Beatles', 'XO TOUR Llif3'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off'})","frozenset({'T-Shirt', 'HUMBLE.', 'iSpy (feat. Lil Yachty)', 'Caroline', 'XO TOUR Llif3', 'Bounce Back', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})","frozenset({'Bounce Back', 'iSpy (feat. Lil Yachty)', 'Caroline', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'T-Shirt'})","frozenset({'Bounce Back', 'Mask Off'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'X (feat. Future)'})","frozenset({'Bounce Back', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'XO TOUR Llif3'})","frozenset({'HUMBLE.', 'Mask Off'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'goosebumps'})","frozenset({'Bounce Back', 'HUMBLE.'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Money Longer', 'Swang', 'Black Beatles', 'Jumpman', 'Antidote', 'Tunnel Vision', 'Low Life', 'White Iverson', 'Chill Bill', 'HUMBLE.', 'Mask Off', 'Panda', 'Bounce Back', 'One Night', 'goosebumps', 'One Dance', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Bounce Back'})","frozenset({'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Caroline'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Chill Bill'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Fake Love'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Caroline'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'HUMBLE.'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'Mask Off'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'No Problem (feat. Lil Wayne & 2 Chainz)'})",frozenset({'Caroline'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles', 'X (feat. Future)'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Black Beatles'})","frozenset({'X (feat. Future)', 'Starboy', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'No Role Modelz', 'pick up the phone', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Jumpman', 'Antidote', 'Low Life', 'White Iverson', 'Chill Bill', 'HUMBLE.', 'Mask Off', 'Panda', 'Bounce Back', 'goosebumps', 'One Dance'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'Chill Bill', 'HUMBLE.', 'Mask Off', 'Fake Love', 'goosebumps'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'Black Beatles'})","frozenset({'HUMBLE.', 'Caroline', 'Mask Off'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'Chill Bill'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'Fake Love'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'Caroline'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'Mask Off', 'goosebumps', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'XO TOUR Llif3'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'Mask Off'})","frozenset({'HUMBLE.', 'Congratulations', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'T-Shirt'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'X (feat. Future)'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'XO TOUR Llif3'})",frozenset({'HUMBLE.'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back', 'goosebumps'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Bounce Back'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'T-Shirt', 'pick up the phone', 'Caroline', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Swang', 'Black Beatles', 'Jumpman', 'Low Life', 'Chill Bill', 'HUMBLE.', 'Mask Off', 'Panda', 'goosebumps', 'XO TOUR Llif3', 'Slippery (feat. Gucci Mane)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'iSpy (feat. Lil Yachty)', 'Congratulations', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'Chill Bill', 'HUMBLE.', 'Mask Off', 'Fake Love', 'Bounce Back', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Black Beatles'})","frozenset({'iSpy (feat. Lil Yachty)', 'Fake Love', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'No Problem (feat. Lil Wayne & 2 Chainz)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Bounce Back'})","frozenset({'iSpy (feat. Lil Yachty)', 'Fake Love', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Chill Bill'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Congratulations'})",frozenset({'Bad and Boujee (feat. Lil Uzi Vert)'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Fake Love'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'Mask Off'})","frozenset({'Bad and Boujee (feat. Lil Uzi Vert)', 'HUMBLE.'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'No Problem (feat. Lil Wayne & 2 Chainz)'})","frozenset({'iSpy (feat. Lil Yachty)', 'Black Beatles', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline', 'iSpy (feat. Lil Yachty)'})",frozenset({'Bounce Back'})
"frozenset({'Broccoli (feat. Lil Yachty)', 'Caroline'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'No Role Modelz', 'T-Shirt', 'pick up the phone', 'Fake Love', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles', 'Jumpman', 'Low Life', 'White Iverson', 'Chill Bill', 'HUMBLE.', 'One Night', 'Panda', 'Bounce Back', 'goosebumps', 'Mask Off', 'One Dance', 'XO TOUR Llif3'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Chill Bill'})","frozenset({'X (feat. Future)', 'iSpy (feat. Lil Yachty)', 'Congratulations', 'Low Life', 'You Was Right', 'No Problem (feat. Lil Wayne & 2 Chainz)', 'No Role Modelz', 'HUMBLE.', 'Caroline', 'Mask Off', 'Fake Love', 'Bounce Back', 'Money Longer', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Black Beatles'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'Bad and Boujee (feat. Lil Uzi Vert)'})","frozenset({'iSpy (feat. Lil Yachty)', 'HUMBLE.', 'Caroline', 'Bounce Back'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'Bounce Back'})","frozenset({'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Mask Off', 'HUMBLE.'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'Caroline'})","frozenset({'iSpy (feat. Lil Yachty)', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'HUMBLE.'})","frozenset({'iSpy (feat. Lil Yachty)', 'Mask Off', 'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'Mask Off'})","frozenset({'Bounce Back', 'HUMBLE.'})"
"frozenset({'Broccoli (feat. Lil Yachty)', 'Congratulations', 'iSpy (feat. Lil Yachty)'})","frozenset({'Bounce Back', 'Bad and Boujee (feat. Lil Uzi Vert)', 'Caroline', 'HUMBLE.'})"
